Date,Mean,Maximum,Minimum,Test status
2015-06-26,"29,00","29,00","28,00",Geprueft
2015-06-27,"30,00","34,00","28,00",Geprueft
2015-06-28,"32,00","33,00","30,00",Geprueft
2015-06-29,"29,00","30,00","29,00",Geprueft
2015-06-30,"28,00","29,00","27,00",Geprueft
2015-07-01,"27,00","28,00","26,00",Geprueft
2015-07-02,"27,00","27,00","26,00",Geprueft
2015-07-03,"27,00","27,00","26,00",Geprueft
2015-07-04,"27,00","28,00","26,00",Geprueft
2015-07-05,"27,00","27,00","26,00",Geprueft
2015-07-06,"27,00","28,00","26,00",Geprueft
2015-07-07,"26,00","27,00","26,00",Geprueft
2015-07-08,"28,00","29,00","26,00",Geprueft
2015-07-09,"28,00","28,00","27,00",Geprueft
2015-07-10,"27,00","27,00","26,00",Geprueft
2015-07-11,"26,00","27,00","26,00",Geprueft
2015-07-12,"26,00","26,00","25,00",Geprueft
2015-07-13,"26,00","26,00","25,00",Geprueft
2015-07-14,"26,00","26,00","25,00",Geprueft
2015-07-15,"25,00","26,00","25,00",Geprueft
2015-07-16,"25,00","25,00","24,00",Geprueft
2015-07-17,"25,00","26,00","24,00",Geprueft
2015-07-18,"26,00","26,00","25,00",Geprueft
2015-07-19,"26,00","26,00","25,00",Geprueft
2015-07-20,"26,00","27,00","26,00",Geprueft
2015-07-21,"26,00","26,00","25,00",Geprueft
2015-07-22,"37,00","70,00","25,00",Geprueft
2015-07-23,"39,00","46,00","36,00",Geprueft
2015-07-24,"33,00","36,00","32,00",Geprueft
2015-07-25,"31,00","32,00","30,00",Geprueft
2015-07-26,"30,00","31,00","29,00",Geprueft
2015-07-27,"31,00","32,00","29,00",Geprueft
2015-07-28,"29,00","30,00","29,00",Geprueft
2015-07-29,"29,00","30,00","28,00",Geprueft
2015-07-30,"29,00","30,00","28,00",Geprueft
2015-07-31,"28,00","29,00","27,00",Geprueft
2015-08-01,"27,00","29,00","27,00",Geprueft
2015-08-02,"29,00","30,00","28,00",Geprueft
2015-08-03,"28,00","29,00","27,00",Geprueft
2015-08-04,"27,00","28,00","26,00",Geprueft
2015-08-05,"28,00","29,00","27,00",Geprueft
2015-08-06,"28,00","28,00","28,00",Geprueft
2015-08-07,"28,00","28,00","27,00",Geprueft
2015-08-08,"27,00","28,00","27,00",Geprueft
2015-08-09,"27,00","27,00","25,00",Geprueft
2015-08-10,"28,00","29,00","26,00",Geprueft
2015-08-11,"28,00","28,00","27,00",Geprueft
2015-08-12,"28,00","28,00","27,00",Geprueft
2015-08-13,"27,00","28,00","27,00",Geprueft
2015-08-14,"27,00","27,00","26,00",Geprueft
2015-08-15,"27,00","28,00","26,00",Geprueft
2015-08-16,"28,00","28,00","27,00",Geprueft
2015-08-17,"29,00","29,00","27,00",Geprueft
2015-08-18,"29,00","33,00","28,00",Geprueft
2015-08-19,"35,00","36,00","33,00",Geprueft
2015-08-20,"32,00","33,00","31,00",Geprueft
2015-08-21,"30,00","31,00","30,00",Geprueft
2015-08-22,"29,00","30,00","28,00",Geprueft
2015-08-23,"28,00","28,00","27,00",Geprueft
2015-08-24,"27,00","28,00","27,00",Geprueft
2015-08-25,"28,00","29,00","27,00",Geprueft
2015-08-26,"27,00","28,00","27,00",Geprueft
2015-08-27,"27,00","27,00","26,00",Geprueft
2015-08-28,"26,00","27,00","26,00",Geprueft
2015-08-29,"26,00","26,00","25,00",Geprueft
2015-08-30,"37,00","40,00","25,00",Geprueft
2015-08-31,"40,00","41,00","39,00",Geprueft
2015-09-01,"41,00","46,00","39,00",Geprueft
2015-09-02,"55,00","65,00","46,00",Geprueft
2015-09-03,"48,00","63,00","44,00",Geprueft
2015-09-04,"62,00","70,00","55,00",Geprueft
2015-09-05,"60,00","64,00","54,00",Geprueft
