system:index,image_id,timestamp,.geo,discharge_cum,water_level,soil_moisture_om,precipitation_cum_mm,delta_discharge,delta_precipitation
20200401T102021_20200401T102432_T32TPT,0,2020-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}",9860.790000000012,22.0,0.37824997,6048.400000000004,0.0,0.0
20200403T100549_20200403T100808_T32TPT,1,2020-04-03,"{""type"":""MultiPoint"",""coordinates"":[]}",9868.310000000012,22.0,0.37074998,6048.400000000004,7.520000000000437,0.0
20200406T101559_20200406T102723_T32TPT,2,2020-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}",9879.41000000001,22.0,0.3806666,6048.400000000004,11.099999999998545,0.0
20200408T101021_20200408T101022_T32TPT,3,2020-04-08,"{""type"":""MultiPoint"",""coordinates"":[]}",9886.82000000001,22.0,0.41720834,6048.400000000004,7.4099999999998545,0.0
20200411T102021_20200411T102438_T32TPT,4,2020-04-11,"{""type"":""MultiPoint"",""coordinates"":[]}",9897.93000000001,22.0,0.4251667,6048.400000000004,11.109999999998763,0.0
20200418T101031_20200418T101517_T32TPT,5,2020-04-18,"{""type"":""MultiPoint"",""coordinates"":[]}",9923.680000000008,22.0,0.42999995,6068.500000000005,25.74999999999818,20.100000000000364
20200423T100549_20200423T100736_T32TPT,6,2020-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}",9941.470000000005,22.0,0.42620835,6070.700000000004,17.789999999997235,2.199999999999818
20200506T101559_20200506T102006_T32TPT,7,2020-05-06,"{""type"":""MultiPoint"",""coordinates"":[]}",9999.080000000004,31.0,0.4287083,6149.700000000004,57.60999999999876,79.0
20200508T101031_20200508T101648_T32TPT,8,2020-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}",10008.350000000004,27.0,0.42958334,6149.700000000004,9.270000000000437,0.0
20200518T101031_20200518T101258_T32TPT,9,2020-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}",10054.970000000005,27.0,0.37862495,6172.100000000006,46.6200000000008,22.400000000001455
20200521T102031_20200521T102644_T32TPT,10,2020-05-21,"{""type"":""MultiPoint"",""coordinates"":[]}",10068.320000000003,27.0,0.35158333,6172.400000000006,13.349999999998545,0.3000000000001819
20200523T100559_20200523T100837_T32TPT,11,2020-05-23,"{""type"":""MultiPoint"",""coordinates"":[]}",10076.860000000004,26.0,0.32937497,6181.200000000006,8.540000000000873,8.800000000000182
20200602T100559_20200602T101204_T32TPT,12,2020-06-02,"{""type"":""MultiPoint"",""coordinates"":[]}",10119.92000000001,26.0,0.3190833,6186.200000000006,43.06000000000495,5.0
20200612T100559_20200612T101538_T32TPT,13,2020-06-12,"{""type"":""MultiPoint"",""coordinates"":[]}",10177.68000000001,32.0,0.39491665,6292.900000000007,57.76000000000022,106.70000000000073
20200627T101031_20200627T101243_T32TPT,14,2020-06-27,"{""type"":""MultiPoint"",""coordinates"":[]}",10271.830000000014,28.0,0.35741672,6336.000000000006,94.1500000000051,43.099999999999454
20200705T101559_20200705T101917_T32TPT,15,2020-07-05,"{""type"":""MultiPoint"",""coordinates"":[]}",10332.650000000014,31.0,0.3940417,6336.000000000006,60.81999999999971,0.0
20200707T101031_20200707T101405_T32TPT,16,2020-07-07,"{""type"":""MultiPoint"",""coordinates"":[]}",10342.920000000016,30.0,0.3820833,6336.000000000006,10.270000000002256,0.0
20200710T102031_20200710T102027_T32TPT,17,2020-07-10,"{""type"":""MultiPoint"",""coordinates"":[]}",10357.570000000014,30.0,0.33416665,6336.000000000006,14.649999999997817,0.0
20200712T100559_20200712T101617_T32TPT,18,2020-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}",10369.340000000013,33.0,0.36637497,6336.000000000006,11.769999999998618,0.0
20200727T101031_20200727T101605_T32TPT,19,2020-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}",10449.660000000013,29.0,0.38050005,6406.100000000008,80.31999999999971,70.10000000000127
20200730T102031_20200730T102706_T32TPT,20,2020-07-30,"{""type"":""MultiPoint"",""coordinates"":[]}",10463.360000000011,29.0,0.38866663,6410.600000000008,13.699999999998909,4.5
20200801T100559_20200801T101400_T32TPT,21,2020-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}",10472.200000000012,28.0,0.35383335,6422.500000000007,8.840000000000146,11.899999999999636
20200806T101031_20200806T101511_T32TPT,22,2020-08-06,"{""type"":""MultiPoint"",""coordinates"":[]}",10629.720000000012,74.0,0.4002916,6533.200000000008,157.52000000000044,110.70000000000073
20200809T102031_20200809T102029_T32TPT,23,2020-08-09,"{""type"":""MultiPoint"",""coordinates"":[]}",10653.23000000001,28.0,0.36666664,6533.200000000008,23.5099999999984,0.0
20200811T100559_20200811T101318_T32TPT,24,2020-08-11,"{""type"":""MultiPoint"",""coordinates"":[]}",10661.40000000001,26.0,0.3452083,6533.700000000008,8.170000000000073,0.5
20200819T102031_20200819T102615_T32TPT,25,2020-08-19,"{""type"":""MultiPoint"",""coordinates"":[]}",10695.25000000001,29.0,0.403625,6575.8000000000075,33.849999999998545,42.099999999999454
20200821T100559_20200821T101228_T32TPT,26,2020-08-21,"{""type"":""MultiPoint"",""coordinates"":[]}",10703.76000000001,27.0,0.38254163,6575.8000000000075,8.510000000000218,0.0
20200826T101031_20200826T101345_T32TPT,27,2020-08-26,"{""type"":""MultiPoint"",""coordinates"":[]}",10724.95000000001,26.0,0.37512496,6583.3000000000075,21.19000000000051,7.5
20200905T101031_20200905T101637_T32TPT,28,2020-09-05,"{""type"":""MultiPoint"",""coordinates"":[]}",10775.95000000001,28.0,0.3765417,6652.100000000007,51.0,68.79999999999927
20200908T102031_20200908T102027_T32TPT,29,2020-09-08,"{""type"":""MultiPoint"",""coordinates"":[]}",10793.85000000001,32.0,0.40583333,6680.100000000007,17.899999999999636,28.0
20200913T101629_20200913T102037_T32TPT,30,2020-09-13,"{""type"":""MultiPoint"",""coordinates"":[]}",10818.54000000001,28.0,0.36945835,6680.100000000007,24.69000000000051,0.0
20200915T101031_20200915T101550_T32TPT,31,2020-09-15,"{""type"":""MultiPoint"",""coordinates"":[]}",10827.82000000001,27.0,0.35249996,6680.100000000007,9.280000000000655,0.0
20200918T102031_20200918T102719_T32TPT,32,2020-09-18,"{""type"":""MultiPoint"",""coordinates"":[]}",10841.89000000001,28.0,0.33958328,6680.100000000007,14.069999999999709,0.0
20200920T100649_20200920T100649_T32TPT,33,2020-09-20,"{""type"":""MultiPoint"",""coordinates"":[]}",10851.450000000012,28.0,0.33837488,6689.600000000007,9.56000000000131,9.5
20201107T102231_20201107T102337_T32TPT,34,2020-11-07,"{""type"":""MultiPoint"",""coordinates"":[]}",11091.36000000001,25.0,0.38929164,6889.000000000008,239.90999999999804,199.40000000000146
20201109T101239_20201109T101557_T32TPT,35,2020-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}",11099.78000000001,24.0,0.37308338,6889.000000000008,8.420000000000073,0.0
20201114T101301_20201114T101418_T32TPT,36,2020-11-14,"{""type"":""MultiPoint"",""coordinates"":[]}",11120.230000000009,23.0,0.35445836,6889.000000000008,20.44999999999891,0.0
20201117T102321_20201117T102427_T32TPT,37,2020-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}",11132.190000000008,23.0,0.3511666,6891.600000000008,11.959999999999127,2.5999999999994543
20201122T102339_20201122T102335_T32TPT,38,2020-11-22,"{""type"":""MultiPoint"",""coordinates"":[]}",11153.04000000001,24.0,0.35041663,6898.500000000007,20.850000000002183,6.899999999999636
20201124T101341_20201124T101416_T32TPT,39,2020-11-24,"{""type"":""MultiPoint"",""coordinates"":[]}",11161.150000000009,23.0,0.3495833,6898.500000000007,8.109999999998763,0.0
20201127T102401_20201127T102424_T32TPT,40,2020-11-27,"{""type"":""MultiPoint"",""coordinates"":[]}",11172.51000000001,22.0,0.3463334,6898.500000000007,11.360000000000582,0.0
20201217T102431_20201217T102432_T32TPT,41,2020-12-17,"{""type"":""MultiPoint"",""coordinates"":[]}",11251.720000000008,23.0,0.35270843,6949.400000000007,79.20999999999913,50.899999999999636
20201219T101329_20201219T101331_T32TPT,42,2020-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}",11259.160000000007,22.0,0.34758338,6949.400000000007,7.43999999999869,0.0
20210111T102309_20210111T102336_T32TPT,43,2021-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}",11341.87000000001,21.0,0.32125005,6969.900000000008,82.71000000000276,20.50000000000091
20210116T102351_20210116T102424_T32TPT,44,2021-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}",11358.88000000001,21.0,0.31900012,6994.000000000008,17.01000000000022,24.100000000000364
20210212T101131_20210212T101311_T32TPT,45,2021-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}",11466.450000000012,23.0,0.31699994,7050.8000000000075,107.57000000000153,56.79999999999927
20210217T101029_20210217T101023_T32TPT,46,2021-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}",11485.440000000011,23.0,0.3140001,7052.8000000000075,18.98999999999978,2.0
