Date,Mean,Maximum,Minimum,Test status
6/26/2015,6.27,6.41,6.11,Geprueft
6/27/2015,6.65,7.94,6.1,Geprueft
6/28/2015,7.15,7.62,6.68,Geprueft
6/29/2015,6.51,6.68,6.37,Geprueft
6/30/2015,6.17,6.37,5.78,Geprueft
7/1/2015,5.88,6.06,5.49,Geprueft
7/2/2015,5.62,5.77,5.48,Geprueft
7/3/2015,5.65,5.75,5.47,Geprueft
7/4/2015,5.71,6.03,5.46,Geprueft
7/5/2015,5.6,5.73,5.44,Geprueft
7/6/2015,5.6,6,5.43,Geprueft
7/7/2015,5.45,5.71,5.42,Geprueft
7/8/2015,6.07,6.27,5.42,Geprueft
7/9/2015,5.83,5.97,5.68,Geprueft
7/10/2015,5.56,5.68,5.39,Geprueft
7/11/2015,5.48,5.67,5.38,Geprueft
7/12/2015,5.26,5.38,5.1,Geprueft
7/13/2015,5.34,5.37,5.09,Geprueft
7/14/2015,5.23,5.36,5.08,Geprueft
7/15/2015,5.15,5.34,5.06,Geprueft
7/16/2015,5.05,5.06,4.79,Geprueft
7/17/2015,5.02,5.31,4.78,Geprueft
7/18/2015,5.22,5.31,5.03,Geprueft
7/19/2015,5.19,5.3,5.02,Geprueft
7/20/2015,5.3,5.56,5.28,Geprueft
7/21/2015,5.23,5.28,5,Geprueft
7/22/2015,8.71,19.4,5,Geprueft
7/23/2015,9.28,11.5,8.28,Geprueft
7/24/2015,7.41,8.28,7.01,Geprueft
7/25/2015,6.73,7.01,6.41,Geprueft
7/26/2015,6.3,6.71,6.12,Geprueft
7/27/2015,6.68,7.03,6.12,Geprueft
7/28/2015,6.26,6.42,6.13,Geprueft
7/29/2015,6.09,6.43,5.84,Geprueft
7/30/2015,6.13,6.43,5.85,Geprueft
7/31/2015,5.73,6.14,5.57,Geprueft
8/1/2015,5.7,6.15,5.58,Geprueft
8/2/2015,6.26,6.45,5.86,Geprueft
8/3/2015,5.9,6.16,5.59,Geprueft
8/4/2015,5.56,5.88,5.32,Geprueft
8/5/2015,5.78,6.17,5.6,Geprueft
8/6/2015,5.89,5.89,5.89,Geprueft
8/7/2015,5.81,5.9,5.61,Geprueft
8/8/2015,5.64,5.9,5.62,Geprueft
8/9/2015,5.49,5.62,5.08,Geprueft
8/10/2015,5.85,6.2,5.35,Geprueft
8/11/2015,5.85,5.92,5.64,Geprueft
8/12/2015,5.8,5.93,5.64,Geprueft
8/13/2015,5.78,5.93,5.65,Geprueft
8/14/2015,5.6,5.66,5.38,Geprueft
8/15/2015,5.69,5.94,5.38,Geprueft
8/16/2015,5.89,5.95,5.66,Geprueft
8/17/2015,6.11,6.25,5.67,Geprueft
8/18/2015,6.22,7.47,5.96,Geprueft
8/19/2015,7.99,8.44,7.45,Geprueft
8/20/2015,7.09,7.45,6.77,Geprueft
8/21/2015,6.61,6.77,6.42,Geprueft
8/22/2015,6.25,6.42,6.07,Geprueft
8/23/2015,5.92,6.07,5.74,Geprueft
8/24/2015,5.65,5.77,5.44,Geprueft
8/25/2015,5.81,6.11,5.49,Geprueft
8/26/2015,5.77,5.98,5.63,Geprueft
8/27/2015,5.55,5.69,5.36,Geprueft
8/28/2015,5.36,5.63,5.32,Geprueft
8/29/2015,5.16,5.32,5,Geprueft
8/30/2015,8.84,9.89,5,Geprueft
8/31/2015,9.77,10.2,9.48,Geprueft
9/1/2015,9.97,11.7,9.46,Geprueft
9/2/2015,14.7,17.8,11.7,Geprueft
9/3/2015,12.5,17,11,Geprueft
9/4/2015,17,19.4,14.4,Geprueft
9/5/2015,16.3,17.6,14.4,Geprueft
9/6/2015,16.1,16.9,15.3,Geprueft
9/7/2015,14.5,15.6,13,Geprueft
9/8/2015,12.7,13.3,11.7,Geprueft
9/9/2015,12,12.4,11.7,Geprueft
9/10/2015,11.8,12.1,11.5,Geprueft
9/11/2015,11.7,11.8,11.2,Geprueft
9/12/2015,11.4,11.8,11.2,Geprueft
9/13/2015,11.4,11.6,10.9,Geprueft
9/14/2015,11.6,11.9,11.3,Geprueft
9/15/2015,11.5,11.9,11.3,Geprueft
9/16/2015,11.3,11.7,11,Geprueft
9/17/2015,11.3,11.7,11,Geprueft
9/18/2015,11.4,11.7,11,Geprueft
9/19/2015,11.8,12.2,11.6,Geprueft
9/20/2015,13.7,15,12.1,Geprueft
9/21/2015,12.3,13.3,11.6,Geprueft
9/22/2015,11.7,11.9,11.4,Geprueft
9/23/2015,14.2,15.8,11.4,Geprueft
9/24/2015,14.5,15,13.7,Geprueft
9/25/2015,13.5,14,12.9,Geprueft
9/26/2015,12.9,13.4,11.2,Geprueft
9/27/2015,8.78,11.9,6.43,Geprueft
9/28/2015,6,6.49,5.69,Geprueft
9/29/2015,5.48,5.69,5.41,Geprueft
9/30/2015,5.27,5.97,5.14,Geprueft
10/1/2015,5.02,5.14,4.87,Geprueft
10/2/2015,4.87,4.87,4.87,Geprueft
10/3/2015,4.87,4.87,4.87,Geprueft
10/4/2015,4.89,5.14,4.61,Geprueft
10/5/2015,4.64,4.87,4.61,Geprueft
10/6/2015,4.51,4.61,4.36,Geprueft
10/7/2015,4.97,5.41,4.61,Geprueft
10/8/2015,4.96,5.13,4.61,Geprueft
10/9/2015,4.5,4.61,4.36,Geprueft
10/10/2015,4.34,4.36,4.11,Geprueft
10/11/2015,4.12,4.36,4.11,Geprueft
10/12/2015,4.11,4.11,4.11,Geprueft
10/13/2015,4.54,5.13,4.11,Geprueft
10/14/2015,5.37,5.68,5.13,Geprueft
10/15/2015,5.4,5.4,5.4,Geprueft
10/16/2015,5.22,5.4,5.13,Geprueft
10/17/2015,4.9,5.13,4.61,Geprueft
10/18/2015,4.67,4.86,4.6,Geprueft
10/19/2015,4.85,5.13,4.6,Geprueft
10/20/2015,4.83,5.13,4.6,Geprueft
10/21/2015,4.42,4.6,4.35,Geprueft
10/22/2015,4.19,4.35,4.1,Geprueft
10/23/2015,4.1,4.1,4.1,Geprueft
10/24/2015,4.1,4.1,4.1,Geprueft
10/25/2015,4.09,4.1,3.86,Geprueft
10/26/2015,4.1,4.1,3.86,Geprueft
10/27/2015,4.19,4.35,3.86,Geprueft
10/28/2015,4.52,4.6,4.35,Geprueft
10/29/2015,4.6,4.6,4.59,Geprueft
10/30/2015,4.59,4.59,4.59,Geprueft
10/31/2015,4.59,4.59,4.58,Geprueft
11/1/2015,4.58,4.58,4.58,Geprueft
11/2/2015,4.58,4.58,4.58,Geprueft
11/3/2015,4.57,4.58,4.57,Geprueft
11/4/2015,4.57,4.57,4.32,Geprueft
11/5/2015,4.57,4.57,4.56,Geprueft
11/6/2015,4.55,4.56,4.31,Geprueft
11/7/2015,4.56,4.56,4.56,Geprueft
11/8/2015,4.52,4.56,4.3,Geprueft
11/9/2015,4.5,4.55,4.3,Geprueft
11/10/2015,4.36,4.55,4.29,Geprueft
11/11/2015,4.29,4.29,4.29,Geprueft
11/12/2015,4.29,4.29,4.28,Geprueft
11/13/2015,4.28,4.28,4.28,Geprueft
11/14/2015,4.28,4.53,4.28,Geprueft
11/15/2015,4.27,4.28,4.27,Geprueft
11/16/2015,4.27,4.27,4.27,Geprueft
11/17/2015,4.37,4.52,4.27,Geprueft
11/18/2015,4.51,4.52,4.51,Geprueft
11/19/2015,4.51,4.77,4.51,Geprueft
11/20/2015,4.61,5.02,4.5,Geprueft
11/21/2015,5.07,5.29,5.02,Geprueft
11/22/2015,5,5.02,4.75,Geprueft
11/23/2015,4.75,5.01,4.75,Geprueft
11/24/2015,4.61,4.75,4.49,Geprueft
11/25/2015,4.48,4.49,4.48,Geprueft
11/26/2015,4.48,4.48,4.48,Geprueft
11/27/2015,4.48,4.48,4.47,Geprueft
11/28/2015,4.47,4.47,4.47,Geprueft
11/29/2015,4.47,4.47,4.47,Geprueft
11/30/2015,4.54,4.72,4.46,Geprueft
12/1/2015,5.01,5.52,4.71,Geprueft
12/2/2015,5.19,5.52,4.71,Geprueft
12/3/2015,4.73,4.97,4.7,Geprueft
12/4/2015,4.52,4.7,4.45,Geprueft
12/5/2015,4.43,4.45,4.19,Geprueft
12/6/2015,4.27,4.44,4.19,Geprueft
12/7/2015,4.19,4.19,4.19,Geprueft
12/8/2015,4.18,4.19,4.18,Geprueft
12/9/2015,4.28,4.43,4.18,Geprueft
12/10/2015,4.39,4.42,4.17,Geprueft
12/11/2015,4.38,4.42,4.17,Geprueft
12/12/2015,4.28,4.42,4.17,Geprueft
12/13/2015,4.23,4.41,4.16,Geprueft
12/14/2015,4.17,4.41,4.16,Geprueft
12/15/2015,4.26,4.4,4.16,Geprueft
12/16/2015,4.46,4.65,4.4,Geprueft
12/17/2015,5.1,5.17,4.65,Geprueft
12/18/2015,4.8,4.9,4.64,Geprueft
12/19/2015,4.64,4.64,4.38,Geprueft
12/20/2015,4.51,4.64,4.38,Geprueft
12/21/2015,4.38,4.38,4.38,Geprueft
12/22/2015,4.37,4.38,4.37,Geprueft
12/23/2015,4.37,4.37,4.37,Geprueft
12/24/2015,4.35,4.37,4.12,Geprueft
12/25/2015,4.31,4.36,4.11,Geprueft
12/26/2015,4.25,4.36,4.11,Geprueft
12/27/2015,4.18,4.35,4.11,Geprueft
12/28/2015,4.14,4.35,4.1,Geprueft
12/29/2015,4.1,4.1,4.1,Geprueft
12/30/2015,4.1,4.1,4.09,Geprueft
12/31/2015,4.09,4.09,4.09,Geprueft
1/1/2016,4.09,4.09,4.09,Geprueft
1/2/2016,4.08,4.09,4.08,Geprueft
1/3/2016,4.09,4.33,4.08,Geprueft
1/4/2016,4.08,4.08,4.07,Geprueft
1/5/2016,4.07,4.07,4.07,Geprueft
1/6/2016,4.07,4.07,4.07,Geprueft
1/7/2016,4.06,4.07,4.06,Geprueft
1/8/2016,4.06,4.06,4.06,Geprueft
1/9/2016,4.17,4.55,4.06,Geprueft
1/10/2016,4.49,4.55,4.29,Geprueft
1/11/2016,4.53,5.06,4.29,Geprueft
1/12/2016,4.8,5.06,4.79,Geprueft
1/13/2016,4.57,4.79,4.29,Geprueft
1/14/2016,4.36,4.54,4.29,Geprueft
1/15/2016,4.29,4.29,4.29,Geprueft
1/16/2016,4.29,4.29,4.29,Geprueft
1/17/2016,4.29,4.29,4.05,Geprueft
1/18/2016,4.23,4.29,4.05,Geprueft
1/19/2016,4.05,4.29,3.81,Geprueft
1/20/2016,4.05,4.05,4.05,Geprueft
1/21/2016,4.05,4.05,4.05,Geprueft
1/22/2016,4.14,4.3,4.05,Geprueft
1/23/2016,4.06,4.3,4.05,Geprueft
1/24/2016,4.06,4.06,4.05,Geprueft
1/25/2016,4.06,4.06,4.06,Geprueft
1/26/2016,3.99,4.3,3.82,Geprueft
1/27/2016,3.97,4.05,3.81,Geprueft
1/28/2016,4.05,4.05,4.05,Geprueft
1/29/2016,4.16,4.29,4.04,Geprueft
1/30/2016,4.24,4.28,4.04,Geprueft
1/31/2016,4.59,5.14,4.28,Geprueft
2/1/2016,8.94,10.7,5.14,Geprueft
2/2/2016,7.34,9.39,5.9,Geprueft
2/3/2016,5.11,5.9,4.26,Geprueft
2/4/2016,3.96,4.26,3.78,Geprueft
2/5/2016,3.58,3.78,3.55,Geprueft
2/6/2016,3.65,3.85,3.55,Geprueft
2/7/2016,3.66,3.85,3.61,Geprueft
2/8/2016,3.7,4,3.61,Geprueft
2/9/2016,4.02,4.24,4,Geprueft
2/10/2016,4.24,4.49,4.23,Geprueft
2/11/2016,4,4.23,3.99,Geprueft
2/12/2016,4,4.05,3.99,Geprueft
2/13/2016,4,4,4,Geprueft
2/14/2016,3.99,4,3.95,Geprueft
2/15/2016,3.99,4.04,3.95,Geprueft
2/16/2016,3.98,3.99,3.95,Geprueft
2/17/2016,3.97,4.03,3.94,Geprueft
2/18/2016,3.96,3.96,3.96,Geprueft
2/19/2016,3.87,3.96,3.72,Geprueft
2/20/2016,3.79,3.96,3.72,Geprueft
2/21/2016,5.66,7.29,3.95,Geprueft
2/22/2016,6.36,7.29,5.77,Geprueft
2/23/2016,5.37,5.77,4.94,Geprueft
