date,river_discharge,river_discharge_mean,river_discharge_median,river_discharge_max,river_discharge_min
6/26/2015,1.6242185,,,1.6242185,1.6242185
6/27/2015,1.5292981,,,1.5292981,1.5292981
6/28/2015,1.5003455,,,1.5003455,1.5003455
6/29/2015,1.4378109,,,1.4378109,1.4378109
6/30/2015,1.3768401,,,1.3768401,1.3768401
7/1/2015,1.3120646,,,1.3120646,1.3120646
7/2/2015,1.2490547,,,1.2490547,1.2490547
7/3/2015,1.2181964,,,1.2181964,1.2181964
7/4/2015,1.1577444,,,1.1577444,1.1577444
7/5/2015,1.1232445,,,1.1232445,1.1232445
7/6/2015,1.0606298,,,1.0606298,1.0606298
7/7/2015,1.032357,,,1.032357,1.032357
7/8/2015,0.99986184,,,0.99986184,0.99986184
7/9/2015,1.1232445,,,1.1232445,1.1232445
7/10/2015,1.0941124,,,1.0941124,1.0941124
7/11/2015,1.0464447,,,1.0464447,1.0464447
7/12/2015,0.99986184,,,0.99986184,0.99986184
7/13/2015,0.9678863,,,0.9678863,0.9678863
7/14/2015,0.936422,,,0.936422,0.936422
7/15/2015,0.9054607,,,0.9054607,0.9054607
7/16/2015,0.8578044,,,0.8578044,0.8578044
7/17/2015,0.8450154,,,0.8450154,0.8450154
7/18/2015,0.8113401,,,0.8113401,0.8113401
7/19/2015,0.8281002,,,0.8281002,0.8281002
7/20/2015,0.8749945,,,0.8749945,0.8749945
7/21/2015,0.8578044,,,0.8578044,0.8578044
7/22/2015,0.8281002,,,0.8281002,0.8281002
7/23/2015,0.8578044,,,0.8578044,0.8578044
7/24/2015,0.8749945,,,0.8749945,0.8749945
7/25/2015,0.8578044,,,0.8578044,0.8578044
7/26/2015,0.9054607,,,0.9054607,0.9054607
7/27/2015,0.89234364,,,0.89234364,0.89234364
7/28/2015,0.9054607,,,0.9054607,0.9054607
7/29/2015,0.89234364,,,0.89234364,0.89234364
7/30/2015,0.9543395,,,0.9543395,0.9543395
7/31/2015,0.936422,,,0.936422,0.936422
8/1/2015,0.89234364,,,0.89234364,0.89234364
8/2/2015,1.0137241,,,1.0137241,1.0137241
8/3/2015,1.0464447,,,1.0464447,1.0464447
8/4/2015,0.99986184,,,0.99986184,0.99986184
8/5/2015,1.0137241,,,1.0137241,1.0137241
8/6/2015,0.9678863,,,0.9678863,0.9678863
8/7/2015,0.92309177,,,0.92309177,0.92309177
8/8/2015,0.89234364,,,0.89234364,0.89234364
8/9/2015,0.8578044,,,0.8578044,0.8578044
8/10/2015,0.8450154,,,0.8450154,0.8450154
8/11/2015,0.8113401,,,0.8113401,0.8113401
8/12/2015,0.7988709,,,0.7988709,0.7988709
8/13/2015,0.7660378,,,0.7660378,0.7660378
8/14/2015,0.733804,,,0.733804,0.733804
8/15/2015,0.7179084,,,0.7179084,0.7179084
8/16/2015,0.7988709,,,0.7988709,0.7988709
8/17/2015,0.8450154,,,0.8450154,0.8450154
8/18/2015,0.8749945,,,0.8749945,0.8749945
8/19/2015,0.89234364,,,0.89234364,0.89234364
8/20/2015,0.9543395,,,0.9543395,0.9543395
8/21/2015,0.936422,,,0.936422,0.936422
8/22/2015,0.9054607,,,0.9054607,0.9054607
8/23/2015,0.8578044,,,0.8578044,0.8578044
8/24/2015,0.8578044,,,0.8578044,0.8578044
8/25/2015,0.89234364,,,0.89234364,0.89234364
