system:index,image_id,timestamp,.geo,discharge,water_level,soil_moisture_om,precipitation_mm,precipitation_cum,discharge_cum,delta_discharge,delta_precipitation,extreme_precipitation,extreme_discharge
20170424T101031_20170424T101120_T32TPT,0,2017-04-24,"{""type"":""MultiPoint"",""coordinates"":[]}",3.91,23,0.3749584,0,2211.4,3747.49,3.91,0,0,0
20170517T102031_20170517T102352_T32TPT,1,2017-05-17,"{""type"":""MultiPoint"",""coordinates"":[]}",5.49,30,0.38520834,0,2347.5,3870.37,5.49,0,0,0
20170527T102031_20170527T102301_T32TPT,2,2017-05-27,"{""type"":""MultiPoint"",""coordinates"":[]}",5.01,28,0.3741667,0,2369.7,3924.22,5.01,0,0,0
20170613T101031_20170613T101608_T32TPT,3,2017-06-13,"{""type"":""MultiPoint"",""coordinates"":[]}",4.56,26,0.34866667,0,2456.2,4015.89,4.56,0,0,0
20170626T102021_20170626T102321_T32TPT,4,2017-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}",4.52,26,0.32212508,3,2514.1,4080.24,4.52,3,0,0
20170706T102021_20170706T102301_T32TPT,5,2017-07-06,"{""type"":""MultiPoint"",""coordinates"":[]}",4.63,26,0.3511667,0,2566.7,4129.22,4.63,0,0,0
20170805T102031_20170805T102535_T32TPT,6,2017-08-05,"{""type"":""MultiPoint"",""coordinates"":[]}",3.85,23,0.35225,2,2799,4363.1,3.85,2,0,3
20170822T101031_20170822T101057_T32TPT,7,2017-08-22,"{""type"":""MultiPoint"",""coordinates"":[]}",5.7,32,0.39708337,0,2967.5,4477.66,5.7,0,0,1
20170825T102021_20170825T102114_T32TPT,8,2017-08-25,"{""type"":""MultiPoint"",""coordinates"":[]}",6.23,34,0.37824997,0,2988.6,4495.45,6.23,0,0,0
20170921T101021_20170921T101436_T32TPT,9,2017-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}",6.25,33,0.41575003,0,3197,4781.33,6.25,0,0,5
20171011T101021_20171011T101146_T32TPT,10,2017-10-11,"{""type"":""MultiPoint"",""coordinates"":[]}",4.96,27,0.38654175,0,3270.7,4896.93,4.96,0,0,0
20171014T102021_20171014T102235_T32TPT,11,2017-10-14,"{""type"":""MultiPoint"",""coordinates"":[]}",4.4,25,0.3678333,0,3270.7,4910.69,4.4,0,0,0
20171031T101141_20171031T101406_T32TPT,12,2017-10-31,"{""type"":""MultiPoint"",""coordinates"":[]}",5,27,0.38325,0,3321.3,4988.78,5,0,0,0
20180407T102019_20180407T102020_T32TPT,13,2018-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}",3.64,22,0.37495837,0,3704.9,5676.95,3.64,0,0,0
20180419T101031_20180419T101457_T32TPT,14,2018-04-19,"{""type"":""MultiPoint"",""coordinates"":[]}",4.03,24,0.42533338,0,3714.5,5722.48,4.03,0,0,0
20180422T102031_20180422T102115_T32TPT,15,2018-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}",7.07,37,0.429625,0,3714.5,5738.83,7.07,0,0,0
20180424T101029_20180424T101526_T32TPT,16,2018-04-24,"{""type"":""MultiPoint"",""coordinates"":[]}",9.82,46,0.43508336,0,3718.9,5756.37,9.82,0,0,0
20180427T102019_20180427T102022_T32TPT,17,2018-04-27,"{""type"":""MultiPoint"",""coordinates"":[]}",6.16,33,0.4301667,0,3723.9,5782.93,6.16,0,0,0
20180507T102019_20180507T102648_T32TPT,18,2018-05-07,"{""type"":""MultiPoint"",""coordinates"":[]}",4.72,27,0.3868333,0,3729.8,5838.11,4.72,0,0,0
20180616T102019_20180616T102021_T32TPT,19,2018-06-16,"{""type"":""MultiPoint"",""coordinates"":[]}",5.35,30,0.38654163,0,4006.4,6065.92,5.35,0,2,2
20180623T101029_20180623T101139_T32TPT,20,2018-06-23,"{""type"":""MultiPoint"",""coordinates"":[]}",4.92,28,0.4038333,0.1,4033.1,6100.98,4.92,0.1,0,0
20180701T102021_20180701T102404_T32TPT,21,2018-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}",4.74,27,0.39720833,0,4070.6,6140.05,4.74,0,0,0
20180713T101029_20180713T101023_T32TPT,22,2018-07-13,"{""type"":""MultiPoint"",""coordinates"":[]}",4.2,24,0.38379166,0,4126.6,6203.49,4.2,0,0,0
20180718T101031_20180718T101539_T32TPT,23,2018-07-18,"{""type"":""MultiPoint"",""coordinates"":[]}",4.37,25,0.37695825,0,4146.5,6224.96,4.37,0,0,0
20180731T102021_20180731T102701_T32TPT,24,2018-07-31,"{""type"":""MultiPoint"",""coordinates"":[]}",4.46,25,0.35599998,0,4182.1,6285.28,4.46,0,0,0
20180812T101019_20180812T101124_T32TPT,25,2018-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}",5.02,28,0.39162493,0,4182.1,6341.4,5.02,0,0,0
20180817T101021_20180817T101024_T32TPT,26,2018-08-17,"{""type"":""MultiPoint"",""coordinates"":[]}",4.99,27,0.39454165,0,4182.1,6368.07,4.99,0,0,0
20180820T102021_20180820T102358_T32TPT,27,2018-08-20,"{""type"":""MultiPoint"",""coordinates"":[]}",4.73,26,0.3699583,0,4182.1,6382.43,4.73,0,0,0
20180822T101019_20180822T101321_T32TPT,28,2018-08-22,"{""type"":""MultiPoint"",""coordinates"":[]}",4.64,26,0.36362502,0,4182.1,6391.72,4.64,0,0,0
20180827T101021_20180827T101023_T32TPT,29,2018-08-27,"{""type"":""MultiPoint"",""coordinates"":[]}",4.99,28,0.4041667,0,4182.1,6416.95,4.99,0,0,0
20180906T101021_20180906T101022_T32TPT,30,2018-09-06,"{""type"":""MultiPoint"",""coordinates"":[]}",4.58,26,0.39595833,0,4182.1,6474.3,4.58,0,0,0
