date,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,weather_code,et0_fao_evapotranspiration,relative_humidity_2m_mean,apparent_temperature_mean,cloud_cover_mean,et0_fao_evapotranspiration_sum,surface_pressure_mean,weather_description
6/26/2015,11.359584,7.1,7.1,7.386582,61,2.956841,78.48951,10.238869,88.208336,2.956841,832.054,"Rain, not freezing, continuous, slight at time of ob."
6/27/2015,10.43875,0.4,0.4,7.729527,51,3.2195992,77.75912,8.886987,56.708332,3.2195992,833.1172,"Drizzle, not freezing, continuous, slight at time of ob."
6/28/2015,11.9574995,0.3,0.3,9.387651,51,3.6456482,75.12365,10.667934,83.125,3.6456482,834.6907,"Drizzle, not freezing, continuous, slight at time of ob."
6/29/2015,14.630416,0,0,7.208994,3,4.827308,67.51293,14.000449,23,4.827308,835.9528,Clouds generally forming or developing
6/30/2015,16.559584,0,0,6.5693827,0,5.234547,66.738556,16.290236,2,5.234547,835.9576,Cloud development not observed or not observable
7/1/2015,16.890835,1.7,1.7,6.2145634,53,4.668436,75.79906,17.317553,21.125,4.668436,838.1048,"Drizzle, not freezing, continuous, moderate at time of ob."
7/2/2015,17.036665,1.2,1.2,5.5887027,53,4.287257,76.13488,17.482197,66.958336,4.287257,840.8828,"Drizzle, not freezing, continuous, moderate at time of ob."
7/3/2015,18.295002,0,0,9.504273,3,5.299154,61.966522,17.74236,33.416668,5.299154,839.75464,Clouds generally forming or developing
7/4/2015,19.97625,0,0,4.5536795,3,5.3287253,53.834362,19.931746,37.416668,5.3287253,837.3196,Clouds generally forming or developing
7/5/2015,17.799168,5.2999997,5.2999997,6.193674,61,3.8207314,72.425316,18.095158,58.791668,3.8207314,837.0928,"Rain, not freezing, continuous, slight at time of ob."
7/6/2015,18.559584,2.8000002,2.8000002,6.9899354,61,4.376097,67.96764,18.60692,83.833336,4.376097,833.51855,"Rain, not freezing, continuous, slight at time of ob."
7/7/2015,13.147084,26.900002,26.900002,7.2359104,63,1.1933999,89.77466,12.9676285,88.791664,1.1933999,828.79376,"Rain, not freezing, continuous, moderate at time of ob."
7/8/2015,9.595,2.4999998,2.4999998,9.931042,51,3.1424556,82.965965,7.994476,62.875,3.1424556,830.635,"Drizzle, not freezing, continuous, slight at time of ob."
7/9/2015,11.684582,0,0,7.2359104,3,4.6053677,71.142235,10.657788,30.166666,4.6053677,833.8847,Clouds generally forming or developing
7/10/2015,14.578334,0.2,0.2,10.464797,51,4.7390428,64.92649,13.267184,17.458334,4.7390428,833.05524,"Drizzle, not freezing, continuous, slight at time of ob."
